_id,data,messageType,service
62f40da5e66a71ae9cac6487,"[""Q"",""2022-08-10T15:57:13.042260463-04:00"",1660161433042260500,""qqq"",200,325.97,325.98,325.99,800,null,null,0,0,null,null,null]",A,iex
62f40da5e66a71ae9cac6488,"[""Q"",""2022-08-10T15:57:13.109509468-04:00"",1660161433109509400,""qqq"",100,325.97,325.985,326,800,null,null,0,0,null,null,null]",A,iex
62f40da5e66a71ae9cac6489,"[""Q"",""2022-08-10T15:57:13.112227581-04:00"",1660161433112227600,""spy"",100,419.9,419.92,419.94,500,null,null,0,0,null,null,null]",A,iex
62f40da5e66a71ae9cac648a,"[""Q"",""2022-08-10T15:57:13.210494829-04:00"",1660161433210494700,""qqq"",100,325.97,325.98,325.99,800,null,null,0,0,null,null,null]",A,iex
62f40da5e66a71ae9cac648b,"[""Q"",""2022-08-10T15:57:13.263318181-04:00"",1660161433263318300,""qqq"",1200,325.95,325.97,325.99,800,null,null,0,0,null,null,null]",A,iex
62f40da5e66a71ae9cac648c,"[""Q"",""2022-08-10T15:57:13.317671367-04:00"",1660161433317671400,""qqq"",800,325.96,325.975,325.99,800,null,null,0,0,null,null,null]",A,iex
62f40da5e66a71ae9cac648d,"[""Q"",""2022-08-10T15:57:13.346457967-04:00"",1660161433346457900,""qqq"",800,325.96,325.98,326,800,null,null,0,0,null,null,null]",A,iex
62f40da5e66a71ae9cac648e,"[""Q"",""2022-08-10T15:57:13.346806990-04:00"",1660161433346807000,""qqq"",200,325.97,325.985,326,800,null,null,0,0,null,null,null]",A,iex
62f40da5e66a71ae9cac648f,"[""Q"",""2022-08-10T15:57:13.368717761-04:00"",1660161433368717800,""qqq"",800,325.96,325.98,326,800,null,null,0,0,null,null,null]",A,iex
62f40da5e66a71ae9cac6490,"[""Q"",""2022-08-10T15:57:13.368854813-04:00"",1660161433368854800,""qqq"",100,325.97,325.985,326,800,null,null,0,0,null,null,null]",A,iex
62f40da5e66a71ae9cac6491,"[""Q"",""2022-08-10T15:57:13.369404392-04:00"",1660161433369404400,""qqq"",800,325.96,325.98,326,800,null,null,0,0,null,null,null]",A,iex
62f40da6e66a71ae9cac6492,"[""Q"",""2022-08-10T15:57:13.523489706-04:00"",1660161433523489800,""spy"",400,419.9,419.905,419.91,100,null,null,0,0,null,null,null]",A,iex
62f40da6e66a71ae9cac6493,"[""Q"",""2022-08-10T15:57:13.688945144-04:00"",1660161433688945200,""qqq"",200,325.97,325.985,326,800,null,null,0,0,null,null,null]",A,iex
62f40da6e66a71ae9cac6494,"[""Q"",""2022-08-10T15:57:14.033188500-04:00"",1660161434033188600,""qqq"",100,325.97,325.98,325.99,800,null,null,0,0,null,null,null]",A,iex
62f40da6e66a71ae9cac6495,"[""Q"",""2022-08-10T15:57:14.036517648-04:00"",1660161434036517600,""qqq"",100,325.97,325.985,326,800,null,null,0,0,null,null,null]",A,iex
62f40da6e66a71ae9cac6496,"[""Q"",""2022-08-10T15:57:14.108345517-04:00"",1660161434108345600,""tqqq"",1800,36.56,36.565,36.57,1800,null,null,0,0,null,null,null]",A,iex
62f40da6e66a71ae9cac6497,"[""Q"",""2022-08-10T15:57:14.113947680-04:00"",1660161434113947600,""tqqq"",1800,36.56,36.57,36.58,100,null,null,0,0,null,null,null]",A,iex
62f40da6e66a71ae9cac6498,"[""T"",""2022-08-10T15:57:14.114364601-04:00"",1660161434114364700,""spy"",null,null,null,null,null,419.91,75,null,0,1,1,0]",A,iex
62f40da6e66a71ae9cac6499,"[""Q"",""2022-08-10T15:57:14.114364601-04:00"",1660161434114364700,""spy"",200,419.9,419.92,419.94,525,null,null,0,0,null,null,null]",A,iex
62f40da6e66a71ae9cac649a,"[""Q"",""2022-08-10T15:57:14.114431955-04:00"",1660161434114432000,""tqqq"",1800,36.56,36.565,36.57,1800,null,null,0,0,null,null,null]",A,iex
62f40da6e66a71ae9cac649b,"[""T"",""2022-08-10T15:57:14.114410821-04:00"",1660161434114410800,""spy"",null,null,null,null,null,419.91,25,null,0,1,1,0]",A,iex
62f40da6e66a71ae9cac649c,"[""Q"",""2022-08-10T15:57:14.114447721-04:00"",1660161434114447600,""tqqq"",1800,36.56,36.57,36.58,100,null,null,0,0,null,null,null]",A,iex
62f40da6e66a71ae9cac649d,"[""Q"",""2022-08-10T15:57:14.114410821-04:00"",1660161434114410800,""spy"",400,419.9,419.92,419.94,500,null,null,0,0,null,null,null]",A,iex
62f40da6e66a71ae9cac649e,"[""Q"",""2022-08-10T15:57:14.123682675-04:00"",1660161434123682600,""qqq"",900,325.97,325.99,326.01,800,null,null,0,0,null,null,null]",A,iex
62f40da6e66a71ae9cac649f,"[""Q"",""2022-08-10T15:57:14.124032339-04:00"",1660161434124032300,""spy"",100,419.91,419.925,419.94,500,null,null,0,0,null,null,null]",A,iex
62f40da6e66a71ae9cac64a0,"[""Q"",""2022-08-10T15:57:14.124387978-04:00"",1660161434124388000,""spy"",100,419.9,419.92,419.94,500,null,null,0,0,null,null,null]",A,iex
62f40da6e66a71ae9cac64a1,"[""Q"",""2022-08-10T15:57:14.125084565-04:00"",1660161434125084700,""spy"",100,419.9,419.93,419.96,300,null,null,0,0,null,null,null]",A,iex
62f40da6e66a71ae9cac64a2,"[""Q"",""2022-08-10T15:57:14.125467930-04:00"",1660161434125468000,""qqq"",900,325.97,325.995,326.02,800,null,null,0,0,null,null,null]",A,iex
62f40da6e66a71ae9cac64a3,"[""T"",""2022-08-10T15:57:14.126467499-04:00"",1660161434126467600,""qqq"",null,null,null,null,null,326,100,null,0,0,0,0]",A,iex
62f40da6e66a71ae9cac64a4,"[""Q"",""2022-08-10T15:57:14.131131408-04:00"",1660161434131131400,""spy"",100,419.9,419.935,419.97,800,null,null,0,0,null,null,null]",A,iex
62f40da6e66a71ae9cac64a5,"[""Q"",""2022-08-10T15:57:14.134144994-04:00"",1660161434134145000,""qqq"",900,325.97,326.005,326.04,400,null,null,0,0,null,null,null]",A,iex
62f40da6e66a71ae9cac64a6,"[""Q"",""2022-08-10T15:57:14.136801670-04:00"",1660161434136801800,""tqqq"",4300,36.56,36.575,36.59,100,null,null,0,0,null,null,null]",A,iex
62f40da6e66a71ae9cac64a7,"[""Q"",""2022-08-10T15:57:14.140408630-04:00"",1660161434140408600,""spy"",500,419.91,419.94,419.97,800,null,null,0,0,null,null,null]",A,iex
62f40da6e66a71ae9cac64a8,"[""Q"",""2022-08-10T15:57:14.170786829-04:00"",1660161434170786800,""qqq"",100,325.99,326.015,326.04,400,null,null,0,0,null,null,null]",A,iex
62f40da6e66a71ae9cac64a9,"[""Q"",""2022-08-10T15:57:14.176510488-04:00"",1660161434176510500,""qqq"",100,325.99,326.005,326.02,800,null,null,0,0,null,null,null]",A,iex
62f40da6e66a71ae9cac64aa,"[""Q"",""2022-08-10T15:57:14.206471839-04:00"",1660161434206472000,""spy"",100,419.92,419.945,419.97,800,null,null,0,0,null,null,null]",A,iex
62f40da6e66a71ae9cac64ab,"[""Q"",""2022-08-10T15:57:14.206978134-04:00"",1660161434206978000,""spy"",500,419.91,419.94,419.97,800,null,null,0,0,null,null,null]",A,iex
62f40da6e66a71ae9cac64ac,"[""Q"",""2022-08-10T15:57:14.217005096-04:00"",1660161434217005000,""spy"",500,419.91,419.92,419.93,100,null,null,0,0,null,null,null]",A,iex
62f40da6e66a71ae9cac64ad,"[""Q"",""2022-08-10T15:57:14.227470994-04:00"",1660161434227471000,""spy"",500,419.91,419.925,419.94,100,null,null,0,0,null,null,null]",A,iex
62f40da6e66a71ae9cac64ae,"[""Q"",""2022-08-10T15:57:14.276557688-04:00"",1660161434276557600,""qqq"",100,325.99,326,326.01,800,null,null,0,0,null,null,null]",A,iex
62f40da6e66a71ae9cac64af,"[""Q"",""2022-08-10T15:57:14.345683088-04:00"",1660161434345683200,""qqq"",100,325.99,326.005,326.02,800,null,null,0,0,null,null,null]",A,iex
62f40da6e66a71ae9cac64b0,"[""T"",""2022-08-10T15:57:14.390128687-04:00"",1660161434390128600,""qqq"",null,null,null,null,null,325.995,100,null,0,0,0,0]",A,iex
62f40da7e66a71ae9cac64b1,"[""Q"",""2022-08-10T15:57:14.410057633-04:00"",1660161434410057700,""qqq"",100,325.99,326,326.01,800,null,null,0,0,null,null,null]",A,iex
62f40da7e66a71ae9cac64b2,"[""Q"",""2022-08-10T15:57:14.420508382-04:00"",1660161434420508400,""qqq"",100,325.99,326.005,326.02,800,null,null,0,0,null,null,null]",A,iex
62f40da7e66a71ae9cac64b3,"[""Q"",""2022-08-10T15:57:14.438051490-04:00"",1660161434438051600,""spy"",200,419.92,419.93,419.94,100,null,null,0,0,null,null,null]",A,iex
